Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 23:35,5/11/2022 23:47,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 23:09,5/11/2022 23:09,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/11/2022 23:05,5/11/2022 23:05,WEST,MARY,M3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 22:50,1/1/1900 0:00,NORTH,BOY,B1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 22:46,5/11/2022 23:23,WEST,QUEEN,Q3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 22:06,1/1/1900 0:00,NORTH,LINCOLN,L2
-,911,2,TRESPASS,TRESPASS,5/11/2022 22:04,5/12/2022 0:09,WEST,KING,K3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - BICYCLE,5/11/2022 22:03,5/11/2022 22:04,WEST,QUEEN,Q1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,"FRAUD - FRAUD, INCLUDING BUNCO",5/11/2022 21:56,5/11/2022 22:01,EAST,GEORGE,G3
ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/11/2022 21:53,5/11/2022 21:53,SOUTH,OCEAN,O1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 21:48,5/11/2022 22:42,NORTH,BOY,B2
-,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),5/11/2022 21:47,5/11/2022 21:54,NORTH,UNION,U1
ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 21:39,5/11/2022 22:12,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,NARCOTICS - NARS REPORT,5/11/2022 21:24,5/11/2022 21:24,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/11/2022 21:15,5/11/2022 21:15,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,5/11/2022 20:41,5/11/2022 20:54,NORTH,LINCOLN,L3
ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 20:28,5/11/2022 21:34,NORTH,BOY,B2
-,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",5/11/2022 20:25,5/11/2022 22:12,WEST,KING,K2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/11/2022 20:19,5/11/2022 20:19,WEST,MARY,M2
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/11/2022 20:14,5/11/2022 20:25,EAST,CHARLIE,C3
ASSISTANCE RENDERED,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/11/2022 20:07,5/11/2022 20:07,SOUTH,SAM,S1
ASSISTANCE RENDERED,ONVIEW,2,TRESPASS,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 20:06,5/11/2022 20:06,EAST,EDWARD,E3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/11/2022 20:03,5/11/2022 20:03,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 19:56,5/11/2022 20:10,SOUTH,OCEAN,O3
-,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",5/11/2022 19:55,5/11/2022 22:07,WEST,KING,K3
